movie_id,genre_id
862,16.0
862,35.0
862,10751.0
8844,12.0
8844,14.0
8844,10751.0
15602,10749.0
15602,35.0
31357,35.0
31357,18.0
31357,10749.0
11862,35.0
949,28.0
949,80.0
949,18.0
949,53.0
11860,35.0
11860,10749.0
45325,28.0
45325,12.0
45325,18.0
45325,10751.0
9091,28.0
9091,12.0
9091,53.0
710,12.0
710,28.0
710,53.0
9087,35.0
9087,18.0
9087,10749.0
12110,35.0
12110,27.0
21032,10751.0
21032,16.0
21032,12.0
10858,36.0
10858,18.0
1408,28.0
1408,12.0
524,18.0
524,80.0
4584,18.0
4584,10749.0
5,80.0
5,35.0
9273,80.0
9273,35.0
9273,12.0
11517,28.0
11517,35.0
11517,80.0
8012,35.0
8012,53.0
8012,80.0
1710,18.0
1710,53.0
9691,28.0
9691,12.0
9691,80.0
9691,53.0
12665,18.0
12665,14.0
12665,878.0
12665,53.0
451,18.0
451,10749.0
16420,18.0
9263,35.0
9263,18.0
9263,10751.0
17015,18.0
17015,10749.0
902,14.0
902,878.0
902,12.0
37557,18.0
37557,80.0
9909,18.0
9909,80.0
63,878.0
63,53.0
63,9648.0
78802,10749.0
78802,12.0
9598,14.0
9598,18.0
9598,35.0
9598,10751.0
47018,36.0
47018,18.0
47018,10749.0
687,18.0
139405,12.0
139405,36.0
139405,18.0
139405,10751.0
33689,35.0
33689,10751.0
33689,10749.0
9603,35.0
9603,18.0
9603,10749.0
34615,18.0
31174,18.0
31174,10752.0
11443,28.0
11443,80.0
11443,18.0
11443,36.0
35196,18.0
35196,10749.0
9312,28.0
9312,14.0
577,14.0
577,18.0
577,35.0
577,53.0
11861,18.0
11861,10749.0
807,80.0
807,9648.0
807,53.0
10530,12.0
10530,16.0
10530,18.0
10530,10751.0
8391,18.0
8391,10749.0
629,18.0
629,80.0
629,53.0
117164,28.0
117164,53.0
117164,18.0
11448,35.0
11448,10749.0
49133,18.0
49133,10769.0
26441,28.0
26441,12.0
26441,35.0
26441,10751.0
97406,18.0
9089,35.0
9089,18.0
9089,10749.0
11010,35.0
11010,18.0
11010,10749.0
99040,53.0
99040,18.0
99040,9648.0
11359,12.0
11359,10751.0
11359,14.0
17182,18.0
17182,53.0
2054,10402.0
2054,18.0
2054,10751.0
10607,35.0
19760,35.0
19760,10749.0
9536,35.0
11525,28.0
11525,878.0
40628,18.0
40628,10751.0
4482,35.0
4482,10749.0
10634,35.0
755,27.0
755,28.0
755,53.0
755,80.0
11859,28.0
11859,53.0
11859,10749.0
28387,35.0
28387,18.0
28387,10749.0
48750,18.0
48750,36.0
20927,18.0
20927,10749.0
36929,35.0
36929,10751.0
9102,27.0
9102,878.0
124626,99.0
27526,18.0
27526,53.0
9623,18.0
9623,53.0
46785,10751.0
46785,18.0
400,18.0
400,80.0
880,18.0
880,35.0
146599,10749.0
146599,18.0
8447,18.0
8447,10749.0
10534,28.0
10534,18.0
17414,12.0
17414,35.0
17414,10751.0
13997,35.0
2086,80.0
2086,18.0
2086,53.0
61548,18.0
9095,18.0
9095,27.0
9095,53.0
9095,10749.0
12158,35.0
12158,27.0
12158,10749.0
9283,35.0
9283,18.0
9283,10749.0
9208,28.0
9208,12.0
9208,18.0
9208,53.0
40154,35.0
406,18.0
45549,28.0
45549,12.0
45549,18.0
45549,878.0
45549,53.0
63076,99.0
11062,18.0
11062,53.0
13685,35.0
13685,80.0
13685,18.0
47475,35.0
47475,10749.0
2045,18.0
2045,9648.0
2045,878.0
2045,53.0
9614,35.0
688,18.0
688,10749.0
11907,18.0
11907,35.0
11907,10751.0
10874,28.0
10874,35.0
10874,10402.0
10874,10751.0
10874,12.0
89333,99.0
96357,80.0
197,28.0
197,18.0
197,36.0
197,10752.0
103,80.0
103,18.0
33542,80.0
33542,28.0
33542,35.0
33542,53.0
43566,18.0
43566,53.0
71754,18.0
43612,35.0
51352,99.0
51352,18.0
51352,10769.0
16934,35.0
16934,80.0
16934,18.0
10324,35.0
10324,10749.0
78406,35.0
78406,18.0
55731,28.0
55731,12.0
55731,35.0
55731,18.0
55731,10751.0
32119,18.0
11066,35.0
11066,10749.0
11104,18.0
11104,35.0
11104,10749.0
37975,18.0
37975,10749.0
2074,35.0
2074,10749.0
